step,split,loss
1,train,0.6874948590993881
2,train,0.5299227982759476
3,train,0.3597484230995178
4,train,0.2582560330629349
5,train,0.23039310052990913
6,train,0.20911598578095436
7,train,0.21348468959331512
8,train,0.19686225056648254
9,train,0.21462981402873993
10,train,0.24310879409313202
11,train,0.254914078861475
12,train,0.24199745804071426
13,train,0.24581358209252357
14,train,0.27067234739661217
15,train,0.22527243196964264
16,train,0.2315482199192047
17,train,0.24963688105344772
18,train,0.23673312738537788
19,train,0.22595325484871864
20,train,0.2160068340599537
21,train,0.2184365801513195
22,train,0.2567429766058922
23,train,0.23562455922365189
24,train,0.17914438992738724
25,train,0.18377698585391045
26,train,0.24013009294867516
27,train,0.1684957854449749
28,train,0.21447371318936348
29,train,0.17122219130396843
30,train,0.2007091213017702
31,train,0.20175152644515038
32,train,0.17276963219046593
33,train,0.17701295763254166
34,train,0.170007836073637
35,train,0.18631773442029953
36,train,0.17363660037517548
37,train,0.1610492840409279
38,train,0.15548834018409252
39,train,0.15575503185391426
40,train,0.16266098245978355
41,train,0.16758659854531288
42,train,0.1466115564107895
43,train,0.1534154787659645
44,train,0.14792785793542862
45,train,0.13329178094863892
46,train,0.1675512045621872
47,train,0.1393931359052658
48,train,0.15019480511546135
49,train,0.14174959436058998
50,train,0.16619348898530006
51,train,0.14724940434098244
52,train,0.1524137295782566
53,train,0.12432977370917797
54,train,0.1479435432702303
55,train,0.13492713682353497
56,train,0.14516610838472843
57,train,0.15224876254796982
58,train,0.15485290437936783
59,train,0.11974281631410122
60,train,0.1268440205603838
61,train,0.14898478612303734
62,train,0.15031890012323856
63,train,0.1458001397550106
64,train,0.13884025253355503
65,train,0.12628977745771408
66,train,0.13881214708089828
67,train,0.1283850483596325
68,train,0.13731168024241924
69,train,0.15079128555953503
70,train,0.13765874691307545
71,train,0.10789012163877487
72,train,0.11919085681438446
73,train,0.1138383038341999
74,train,0.13030834682285786
75,train,0.1225892435759306
76,train,0.12123119831085205
77,train,0.10796311497688293
78,train,0.11762790568172932
79,train,0.12166992388665676
80,train,0.10958060249686241
81,train,0.1219218410551548
82,train,0.11638057418167591
83,train,0.10404231958091259
84,train,0.12257707305252552
85,train,0.1181710995733738
86,train,0.12502198293805122
87,train,0.1123919952660799
88,train,0.10488336160779
89,train,0.09225716069340706
90,train,0.10999661311507225
91,train,0.10401449725031853
92,train,0.09776542522013187
93,train,0.09331711940467358
94,train,0.09158503077924252
95,train,0.10272662155330181
96,train,0.09773430973291397
97,train,0.10026349127292633
98,train,0.09287158213555813
99,train,0.09206912852823734
100,train,0.08701402135193348
100,val,0.14291429350706103
101,train,0.09676727838814259
102,train,0.09735449962317944
103,train,0.0958012267947197
104,train,0.0827517881989479
105,train,0.10318069905042648
106,train,0.10180060751736164
107,train,0.0928676389157772
108,train,0.0856577567756176
109,train,0.09224294684827328
110,train,0.1039895061403513
111,train,0.08534223586320877
112,train,0.09512435644865036
113,train,0.10049634054303169
114,train,0.09789036400616169
115,train,0.07995621673762798
116,train,0.08923429995775223
117,train,0.08080306183546782
118,train,0.07225934695452452
119,train,0.08068154659122229
120,train,0.08235599845647812
121,train,0.07801249157637358
122,train,0.0891787763684988
123,train,0.07874031271785498
124,train,0.0735658211633563
125,train,0.07193805743008852
126,train,0.0828300416469574
127,train,0.06142487097531557
128,train,0.08352614659816027
129,train,0.05864464212208986
130,train,0.06657773815095425
131,train,0.07184419129043818
132,train,0.08287825994193554
133,train,0.07428340800106525
134,train,0.08628949895501137
135,train,0.07452268060296774
136,train,0.06930822785943747
137,train,0.07954060845077038
138,train,0.0653050122782588
139,train,0.07036929950118065
140,train,0.06837430503219366
141,train,0.07068535126745701
142,train,0.07548842392861843
143,train,0.07751152571290731
144,train,0.06794002931565046
145,train,0.06452342960983515
146,train,0.07518464978784323
147,train,0.07163242343813181
148,train,0.06520889233797789
149,train,0.07294007390737534
150,train,0.06324509531259537
151,train,0.058160675689578056
152,train,0.06334550026804209
153,train,0.04565897211432457
154,train,0.06147413793951273
155,train,0.05301417224109173
156,train,0.055236440151929855
157,train,0.07437085546553135
158,train,0.057125020772218704
159,train,0.059768443927168846
160,train,0.059292382560670376
161,train,0.0443676533177495
162,train,0.04963690601289272
163,train,0.0714858453720808
164,train,0.0540057523176074
165,train,0.04912139754742384
166,train,0.06448513735085726
167,train,0.048964595422148705
168,train,0.04472469352185726
169,train,0.057174921967089176
170,train,0.06480901967734098
171,train,0.05169906746596098
172,train,0.044933381490409374
173,train,0.043112948536872864
174,train,0.05069911386817694
175,train,0.04868039768189192
176,train,0.04626346938312054
177,train,0.04109481628984213
178,train,0.04796271584928036
179,train,0.04833843279629946
180,train,0.050582596100866795
181,train,0.046891250647604465
182,train,0.052861266769468784
183,train,0.04300834331661463
184,train,0.05729943234473467
185,train,0.06075090263038874
186,train,0.048787335865199566
187,train,0.044562228955328465
188,train,0.0378445265814662
189,train,0.048354553524404764
190,train,0.03980253776535392
191,train,0.0473179817199707
192,train,0.04929795954376459
193,train,0.04827903304249048
194,train,0.03540057921782136
195,train,0.035252409521490335
196,train,0.033939987886697054
197,train,0.04416890162974596
198,train,0.040262388065457344
199,train,0.04079574020579457
200,train,0.04022946581244469
200,val,0.14743619541980632
201,train,0.03183602914214134
202,train,0.04855924053117633
203,train,0.04102852754294872
204,train,0.046833167783916
205,train,0.04548979504033923
206,train,0.044568296521902084
207,train,0.03595568472519517
208,train,0.03626716695725918
209,train,0.04334077425301075
210,train,0.042885069735348225
211,train,0.036438995972275734
212,train,0.042040618136525154
213,train,0.03229778865352273
214,train,0.038705704268068075
215,train,0.03956476226449013
216,train,0.04257061518728733
217,train,0.03324782196432352
218,train,0.03912739781662822
219,train,0.038734587375074625
220,train,0.03419750323519111
221,train,0.029871967621147633
222,train,0.030662517994642258
223,train,0.030320408288389444
224,train,0.035523132886737585
225,train,0.0388172147795558
226,train,0.03585586557164788
227,train,0.04009889159351587
228,train,0.04522106237709522
229,train,0.025268033612519503
230,train,0.03358815051615238
231,train,0.04237206606194377
232,train,0.039358054753392935
233,train,0.028610524721443653
234,train,0.03770393971353769
235,train,0.02401878871023655
236,train,0.02826756052672863
237,train,0.03341613430529833
238,train,0.023811707738786936
239,train,0.0373669215478003
240,train,0.02966810157522559
241,train,0.03964654542505741
242,train,0.024295379873365164
243,train,0.037123339250683784
244,train,0.03813320817425847
245,train,0.024877419229596853
246,train,0.030421620700508356
247,train,0.029968916438519955
248,train,0.03335790988057852
249,train,0.04698255006223917
250,train,0.032822010572999716
251,train,0.02868268685415387
252,train,0.026883124839514494
253,train,0.030036319978535175
254,train,0.03877658164128661
255,train,0.03273387299850583
256,train,0.028118656016886234
257,train,0.02736820373684168
258,train,0.024188874289393425
259,train,0.023919385392218828
260,train,0.03234678599983454
261,train,0.026995179476216435
262,train,0.022415291983634233
